STATES,APC,LP,NNPP,PDP,,,,,,,
Abia Umuahia,"8,914","327,095","1,239","22,676",,,,,,,
Adamawa Yola,"182,881","105,648","8,006","417,611",,,,,,,
Akwa-Ibom Uyo,"160,620","132,683","7,796","214,012",,,,,,,
Anambra Awka,"5,111","584,621","1,967","9,036",,,,,,,
Bauchi Bauchi,"316,694","27,373","72,103","426,607",,,,,,,
Bayelsa Yenagoa,"42,572","49,975",540,"68,818",,,,,,,
Benue Makurdi,"310,468","308,372","4,740","130,081",,,,,,,
Borno Maiduguri,"252,282","7,205","4,626","190,921",,,,,,,
Cross-River Calabar,"130,520","179,917","1,644","95,425",,,,,,,
Delta Asaba,"90,183","341,866","3,122","161,600",,,,,,,
Ebonyi Abakaliki,"42,402","259,738","1,661","13,503",,,,,,,
Ekiti Ado-Ekiti,"201,494","11,397",264,"89,554",,,,,,,
Edo Benin-City,"144,471","331,163","2,743","89,585",,,,,,,
Enugu Enugu,"4,772","428,640","1,808","15,749",,,,,,,
Gombe Gombe,"146,977","26,160","10,520","319,123",,,,,,,
Imo Owerri,"66,171","352,904","1,536","30,044",,,,,,,
Jigawa Dutse,"421,390","1,889","98,234","386,587",,,,,,,
Kaduna Kaduna,"399,293","294,494","92,969","554,360",,,,,,,
Kano Kano,"517,341","28,513","997,279","131,716",,,,,,,
Katsina Katsina,"482,283","6,376","69,386","489,045",,,,,,,
Kebbi Birinin-Kebbi,"248,088","10,682","5,038","285,175",,,,,,,
Kogi Lokoja,"240,751","56,217","4,238","145,104",,,,,,,
Kwara Ilorin,"263,572","31,166","3,141","136,909",,,,,,,
Lagos Ikeja,"572,606","582,454","8,442","75,750",,,,,,,
Nassarawa Lafia,"172,922","191,361","12,715","147,093",,,,,,,
Niger Minna,"375,183","80,452","21,836","284,898",,,,,,,
Ogun Abeokuta,"341,554","85,829","2,200","123,831",,,,,,,
Ondo Akure,"369,924","44,405",930,"115,463",,,,,,,
Osun Osogbo,"343,945","23,283",713,"354,366",,,,,,,
Oyo Ibadan,"449,884","99,110","4,095","182,977",,,,,,,
Plateau Jos,"307,195","466,272","8,869","243,808",,,,,,,
Rivers Port-Harcourt,"231,591","175,071","1,322","88,468",,,,,,,
Sokoto Sokoto,"285,443","6,568","1,300","288,679",,,,,,,
Taraba Jalingo,"135,165","146,315","12,828","189,017",,,,,,,
Yobe Damaturu,"151,459","2,406","18,270","198,567",,,,,,,
Zamfara Gusau,"298,396","1,660","4,044","193,978",,,,,,,
Federal Capital Territory (FCT),"90,902","281,717","4,517","74,194",,,,,,,
Total,"8,805,419","6,090,997","1,496,681","6,984,330",,,,,,,
Total Valid Votes,"24,025,940",,,,,,,,,,
